time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
-7, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , 0.0
12293, -0.010461126454096577, , 0.010459813396928998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12393, , -5.2305632270482886E-6, , 4.183925358771599E-6, 0.0, , , , , , , , , , , , true, false, , 0.0, 0.0, false, 0.0, false, 0.0, false, , false, , true, false, , 
12493, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, , , , , , , , , , , false, , false, , , false, 
15893, , , , , , , , , , , , , , , , , , , , -0.20750000000000443, -283.0, , -10.218064124999984, , -0.92, , , , , , true, true, 
16093, , , , , , , , , , , , , , , , , , , , -0.5955000000000127, -2444.0, , -5.337145567979897, , , , , , , , , , 
16293, , , , , , , , , , , , , , , , , , , , -0.8425000000000179, -6182.0, , -1.7518148118679855, , , , , , , , , , 
16493, , , , , , , , , , , , , , , , , , , , -0.8779999999998628, -10796.0, , -0.3549518914143155, , , , , , , , , , 
16693, , , , , , , , , , , , , , , , , , , , -0.9065000000000194, -15227.0, , -0.4986551176122175, , , , , , , , , , 
16893, , , , , , , , , , , , , , , , , , , , -0.8920000000000191, -19716.0, , -0.5759979791736151, , , , , , , , , , 
17093, , , , , , , , , , , , , , , , , , , , -0.8960000000000191, -24197.0, , -0.5480842058113976, , , , , , , , , , 
17293, , , , , , , , , , , , , , , , , , , , -0.8680000000000185, -28676.0, , -0.5853618013131491, , , , , , , , , , 
17493, , , , , , , , , , , , , , , , , , , , -0.8944999999998602, -33150.0, , -0.5310594501147298, , , , , , , , , , 
17693, , , , , , , , , , , , , , , , , , , , -0.8785000000000188, -37623.0, , -0.5906842731354336, , , , , , , , , , 
17893, , , , , , , , , , , , , , , , , , , , -0.9220000000000197, -42114.0, , -0.448453136173448, , , , , , , , , , 
18093, , , , , , , , , , , , , , , , , , , , -0.8815000000000188, -46580.0, , -0.5589524279640373, , , , , , , , , , 
18293, , , , , , , , , , , , , , , , , , , , -0.8900000000000189, -51063.0, , -0.5097962007977731, , , , , , , , , , 
18493, , , , , , , , , , , , , , , , , , , , -0.8919999999998606, -55534.0, , -0.5397029877656095, , , , , , , , , , 
18693, , , , , , , , , , , , , , , , , , , , -0.9030000000000192, -60012.0, , -0.5059706980023256, , , , , , , , , , 
18893, , , , , , , , , , , , , , , , , , , , -0.9060000000000193, -64491.0, , -0.5121701414984655, , , , , , , , , , 
19093, , , , , , , , , , , , , , , , , , , , -0.8895000000000189, -68958.0, , -0.5386756099147587, , , , , , , , , , 
19293, , , , , , , , , , , , , , , , , , , , -0.8825000000000188, -73437.0, , -0.5434691989462827, , , , , , , , , , 
19493, , , , , , , , , , , , , , , , , , , , -0.89599999999986, -77912.0, , -0.5199813018780187, , , , , , , , , , 
19693, , , , , , , , , , , , , , , , , , , , -0.9015000000000192, -82388.0, , -0.5237910826291463, , , , , , , , , , 
19893, , , , , , , , , , , , , , , , , , , , -0.8925000000000191, -86858.0, , -0.5424489766413153, , , , , , , , , , 
20093, , , , , , , , , , , , , true, , , , , , , -0.8950000000000191, -91333.0, , -0.5447841294425252, , , true, true, , , , , , 
20293, , , , , , , , , , , , , , , , , , , , -0.8620000000000183, -95802.0, , -0.6211216996799994, , , , , , , , , , 
20493, -12.499999999998046, -0.006249999999999023, 12.499999999998046, 0.004999999999999219, , , , , , , , , false, , , , , , , -0.8405000000001672, -99641.0, , -1.6633952378782377, , , false, false, , , , , , 
20693, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8874999999998613, -104236.0, , -0.3674974947193096, , , , , , , , , , 
20893, , , , , , , , , , , , , , , , , , , , -0.90500000000018, -108679.0, , -0.5283335352220838, , , , , , , , , , 
21093, , , , , , , , , , , , , , , , , , , , -0.9005000000001792, -113165.0, , -0.5291235543226103, , , , , , , , , , 
21293, , , , , , , , , , , , , , , , , , , , -0.8759999999998631, -117642.0, , -0.5486016702673787, , , , , , , , , , 
21493, , , , , , , , , , , , , , , , , , , , -0.8995000000001789, -122115.0, , -0.5301783094755047, , , , , , , , , , 
21693, , , , , , , , , , , , , true, , , , , , , -0.89549999999986, -126592.0, , -0.5472246948277935, , , true, true, , , , , , 
21893, , , , , , , , , , , , , false, , , , , , , -0.7730000000001538, -130612.0, , -2.2288043868512033, , , false, false, , , , , , 
22093, 12.499999999998046, 0.006249999999999023, , , , , , , , , , , , , , , , , , -0.9440000000001879, -135033.0, , -0.18948497062447678, , , , , , , , , , 
22293, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.8684999999998643, -139478.0, , -0.738719526337989, , , , , , , , , , 
22493, , , , , , , , , , , , , , , , , , , , -0.9020000000001794, -143996.0, , -0.472751829340672, , , , , , , , , , 
22693, , , , , , , , , , , , , , , , , , , , -0.8924999999998604, -148458.0, , -0.539148185935881, , , , , , , , , , 
22893, , , , , , , , , , , , , , , , , , , , -0.8945000000001779, -152938.0, , -0.546447528525714, , , , , , , , , , 
23093, , , , , , , , , , , , , , , , , , , , -0.8965000000001784, -157413.0, , -0.5439609659338749, , , , , , , , , , 
23293, 12.500000000002487, 0.006250000000001243, , , , , , , , , , , true, , , , , , , -0.710499999999889, -161784.0, , -1.2951104425268678, , , true, true, , , , , , 
23493, 0.0, 0.0, , , , , , , , , , , false, , , , , , , -0.9120000000001814, -165782.0, , -0.998108023626708, , , false, false, , , , false, false, 
23693, , , , , , , , , , , , , , , , , , , , -0.888999999999861, -170374.0, , -0.5015920720953545, , , , , , , , , , 
23893, , , , , , , , , , , , , , , , , , , , -0.915000000000182, -174835.0, , -0.3893836743635966, , , , , , , , , , 
24093, , , , , , , , , , , , , , , , , , , , -0.8995000000001789, -179303.0, , -0.5131706456275461, , , , , , , , , , 
24293, -12.500000000002487, -0.006250000000001243, , , , , , , , , , , , , , , , , , -0.8799999999998624, -183778.0, , -0.5582730434830446, , , , , , , , , , 
24493, 12.499999999998046, 0.006249999999999023, , , , , , , , , , , , , , , , , , -0.8945000000001779, -188255.0, , -0.5394471214393616, , , , , , , , , , 
24693, -12.499999999998046, -0.006249999999999023, , , , , , , , , , , , , , , , , , -0.8944999999998602, -192728.0, , -0.5466029468057731, , , , , , , , , , 
24893, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9010000000001793, -197206.0, , -0.5180278781058806, , , , , , , , , , 
25093, , , , , , , , , , , , , , , , , , , , -0.8970000000001784, -201681.0, , -0.5407983153440727, , , , , , , , , , 
25293, , , , , , , , , , , , , , , , , , , , -0.888999999999861, -206159.0, , -0.5194481272956637, , , , , , , , , , 
25493, , , , , , , , , , , , , , , , , , , , -0.900000000000179, -210627.0, , -0.5647064209251076, , , , , , , , , , 
25693, , , , , , , , , , , , , , , , , , , , -0.8964999999998599, -215105.0, , -0.524477474279458, , , , , , , , , , 
25893, , , , , , , , , , , , , , , , , , , , -0.8880000000001766, -219577.0, , -0.5717985984622701, , , , , , , , , , 
26093, , , , , , , , , , , , , , , , , , , , -0.8960000000001782, -224056.0, , -0.5262215900125211, , , , , , , , , , 
26293, , , , , , , , , , , , , , , , , , , , -0.9273684210523653, -228529.0, , -0.49902294444493056, , , , , , , , , , 
26493, , , , , , , , , , , , , , , , , , , , -0.9257894736842909, -232980.0, , -0.48461083942110605, , , , , , , , , , 
26693, , , , , , , , , , , , , , , , , , , , -0.8974999999998597, -237454.0, , -0.5321568045701061, , , , , , , , , , 
26893, , , , , , , , , , , , , , , , , , , , -0.8990000000001789, -241930.0, , -0.5201007888449222, , , , , , , , , , 
64393, , , , , , , , , , , , , , , , , , , , -0.19100000000003803, -341471.0, , -8.985950210531302, , , , , , , , , , 
64593, , , , , , , , , , , , , , , , , , , , -0.5749999999997059, -343535.0, , -5.541398585169489, , , , , , , , , , 
64793, , , , , , , , , , , , , , , , , , , , -0.8410000000001674, -347182.0, , -1.926311067253835, , , , , , , , , , 
64993, , , , , , , , , , , , , , , , , , , , -0.8985000000001787, -351781.0, , -0.2403971218079023, , , , , , , , , , 
65193, , , , , , , , , , , , , , , , , , , , -0.9373684210523624, -356203.0, , -0.4899096088891002, , , , , , , , , , 
65393, , , , , , , , , , , , , , , , , , , , -0.8865000000001764, -360691.0, , -0.5895210536191935, , , , , , , , , , 
65593, , , , , , , , , , , , , , , , , , , , -0.8899999999995447, -365169.0, , -0.5439227666901661, , , , , , , , , , 
65793, , , , , , , , , , , , , , , , , , , , -0.8855000000001763, -369646.0, , -0.5564139483939634, , , , , , , , , , 
65993, , , , , , , , , , , , , , , , , , , , -0.8975000000001786, -374123.0, , -0.5446966023662244, , , , , , , , , , 
66193, , , , , , , , , , , , , , , , , , , , -0.8885000000001768, -378602.0, , -0.5641881302706643, , , , , , , , , , 
66393, , , , , , , , , , , , , , , , , , , , -0.8925000000001775, -383086.0, , -0.5091821839711865, , , , , , , , , , 
66593, , , , , , , , , , , , , , , , , , , , -0.9004999999995393, -387557.0, , -0.5075750438774794, , , , , , , , , , 
66793, , , , , , , , , , , , , , , , , , , , -0.8930000000001777, -392034.0, , -0.51836817526302, , , , , , , , , , 
66993, , , , , , , , , , , , , , , , , , , , -0.9010000000001793, -396506.0, , -0.5341558162548754, , , , , , , , , , 
67193, , , , , , , , , , , , , , , , , , , , -0.8704761904761575, -400990.0, , -0.6028541100304319, , , , , , , , , , 
67393, , , , , , , , , , , , , , , , , , , , -0.8920000000001775, -405451.0, , -0.5671116973605785, , , , , , , , , , 
67593, , , , , , , , , , , , , , , , , , , , -0.9004999999995393, -409932.0, , -0.4755426837255363, , , , , , , , , , 
67793, , , , , , , , , , , , , , , , , , , , -0.8935000000001778, -414399.0, , -0.5656194240821187, , , , , , , , , , 
67993, , , , , , , , , , , , , , , , , , , , -0.8860000000001762, -418881.0, , -0.5353507407794478, , , , , , , , true, true, 
68193, , , , , , , , , , , , , , , , , , , , -0.8925000000001775, -423354.0, , -0.535952064577783, , , , , , , , , , 
68393, , , , , , , , , , , , , , , , , , , , -0.8580952380952056, -427837.0, , -0.6304271121888251, , , , , , , , , , 
68593, 25.000000000004974, 0.012500000000002487, -25.000000000004974, -0.01000000000000199, , , , , , , , , , , , , , , , -0.8824999999995484, -432291.0, , -0.5900738067279162, , , , , , , , , , 
68793, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8810000000001752, -436771.0, , -0.5667988464372157, , , , , , , , , , 
68993, , , , , , , , , , , , , , , , , , , , -0.8542857142856819, -441265.0, , -0.6024965450116215, , , , , , , , , , 
69193, , , , , , , , , , , , , , , , , , , , -0.8944999999995423, -445721.0, , -0.6666939806362298, , , , , , , , , , 
69393, , , , , , , , , , , , , , , , , , , , -0.8870000000001765, -450198.0, , -0.6031102913129162, , , , , , , , , , 
69593, , , , , , , , , , , , , , , , , , , , -0.9075000000001806, -454690.0, , -0.5383964345329605, , , , , , , , , , 
69793, , , , , , , , , , , , , , , , , , , , -0.8599999999999675, -459157.0, , -0.65567896583722, , , , , , , , , , 
69993, , , , , , , , , , , , , , , , , , , , -0.8576190476190152, -463627.0, , -0.6715472571726805, , , , , , , , , , 
70193, , , , , , , , , , , , , , , , , , , , -0.8865000000001764, -468088.0, , -0.5418919997868107, , , , , , , , , , 
70393, , , , , , , , , , , , , , , , , , , , -0.8695238095237766, -472572.0, , -0.5618110906421989, , , , , , , , , , 
70593, , , , , , , , , , , , , , , , , , , , -0.9357894736839417, -477033.0, , -0.4587914833969262, , , , , , , , , , 
70793, , , , , , , , , , , , , , , , , , , , -0.8970000000001784, -481503.0, , -0.49051467931197845, , , , , , , , , , 
70993, , , , , , , , , , , , , , , , , , , , -0.8965000000001784, -485969.0, , -0.5335612024814073, , , , , , , , , , 
71193, , , , , , , , , , , , , , , , , , , , -0.8954999999995419, -490445.0, , -0.62705880661017, , , , , , , , , , 
71393, , , , , , , , , , , , , , , , , , , , -0.8905000000001771, -494927.0, , -0.4816421335301456, , , , , , , , , , 
71593, , , , , , , , , , , , , , , , , , , , -0.8561904761904437, -499391.0, , -0.6498588494306496, , , , , , , , , , 
71793, , , , , , , , , , , , , , , , , , , , -0.9347368421056937, -503866.0, , -0.4502421385125126, , , , , , , , , , 
71993, , , , , , , , , , , , , , , , , , , , -0.8633333333333006, -508342.0, , -0.5379148792310589, , , , , , , , , , 
72193, , , , , , , , , , , , , true, , , , , , , -0.9384210526313095, -512812.0, , -0.4236298368442222, , , true, true, , , , , , 
72393, -13.157894736848167, -0.006578947368424084, 12.500000000002487, 0.005000000000000995, , , , , , , , , , , , , , , , -0.8584210526313324, , , , , , , , , , , , , 
72493, , , , , , , , , , , , , false, , , , , , , , -516726.0, , -1.7624551321093895, , , false, false, , , , , , 
72593, 12.499999999993605, 0.006249999999996802, 0.0, 0.0, , , , , , , , , , , , , , , , -0.919500000000183, -521312.0, , , , , , , , , , , , 
72693, , , , , , , , , , , , , , , , , , , , , , , -0.23502591481355195, , , , , , , , , , 
72793, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72893, , 0.0, , , , , , , , , , , , , , , , , , -0.8990000000001789, -525743.0, , -0.5903336546118335, , , , , , , , , , 
73093, , , , , , , , , , , , , , , , , , , , -0.8870000000001765, -530237.0, , -0.5864759966453766, , , , , , , , , , 
73293, , , , , , , , , , , , , , , , , , , , -0.8984999999995403, -534716.0, , -0.5344103957062435, , , , , , , , , , 
73493, , , , , , , , , , , , , , , , , , , , -0.900999999999539, -539192.0, , -0.5411497711525408, , , , , , , , , , 
73693, , , , , , , , , , , , , , , , , , , , -0.8975000000001786, -543668.0, , -0.5480152634219266, , , , , , , , , , 
73893, 12.500000000002487, 0.006250000000001243, -12.499999999993605, -0.004999999999997442, , , , , , , , , true, , , , , , , -0.7247368421055971, -547928.0, , -1.7475079012713413, , , true, true, , , , , , 
74093, 0.0, 0.0, 0.0, 0.0, , , , , , , , , false, , , , , , , -0.8947619047618708, -552059.0, , -0.8437018156461782, , , false, false, , , , , , 
74293, , , , , , , , , , , , , , , , , , , , -0.8559999999995621, -556607.0, , -0.8026089020236995, , , , , , , , , , 
74493, , , , , , , , , , , , , , , , , , , , -0.8829999999995483, -561099.0, , -0.450097573618461, , , , , , , , , , 
74693, , , , , , , , , , , , , , , , , , , , -0.8945000000001779, -565563.0, , -0.5645687124105115, , , , , , , , , , 
74893, , , , , , , , , , , , , , , , , , , , -0.8885000000001768, -570045.0, , -0.5502862486797094, , , , , , , , , , 
75093, , , , , , , , , , , , , , , , , , , , -0.8925000000001775, -574518.0, , -0.5665292863865998, , , , , , , , , , 
75293, , , , , , , , , , , , , true, , , , , , , -0.896999999999541, -579001.0, , -0.5203572466821588, , , true, true, , , , , , 
75493, -12.500000000002487, -0.006250000000001243, 11.904761904761454, 0.004761904761904582, , , , , , , , , , , , , , , , -0.8039999999995886, -582976.0, , -2.0451060481600036, , , , , , , , , , 
75693, 12.499999999993605, 0.006249999999996802, -11.904761904761454, -0.004761904761904582, , , , , , , , , false, , , , , , , -0.929500000000185, -587476.0, , -0.18219124119456503, , , false, false, , , , false, false, 
75893, -12.500000000002487, -0.006250000000001243, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8940000000001779, -591908.0, , -0.6824785989928205, , , , , , , , , , 
76093, 12.500000000002487, 0.006250000000001243, -12.499999999993605, -0.004999999999997442, , , , , , , , , , , , , , , , -0.8945000000001779, -596397.0, , -0.597777788954978, , , , , , , , , , 
76293, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8884999999995454, -600880.0, , -0.5507951322045465, , , , , , , , , , 
76493, , , , , , , , , , , , , , , , , , , , -0.8929999999995433, -605356.0, , -0.5410300210497444, , , , , , , , , , 
76693, , , , , , , , , , , , , , , , , , , , -0.9055000000001802, -609832.0, , -0.5286041508836606, , , , , , , , , , 
76893, , , , , , , , , , , , , , , , , , , , -0.8975000000001786, -614309.0, , -0.5253420920937061, , , , , , , , , , 
77093, , , , , , , , , , , , , , , , , , , , -0.9205000000001831, -618789.0, , -0.4642632911317178, , , , , , , , , , 
77293, , , , , , , , , , , , , , , , , , , , -0.9219999999995284, -623274.0, , -0.43093426423669373, , , , , , , , , , 
77493, , , , , , , , , , , , , , , , , , , , -0.8839999999995477, -627728.0, , -0.5823060422254693, , , , , , , , , , 
77693, , , , , , , , , , , , , , , , , , , , -0.9250000000001841, -632219.0, , -0.46396110718572525, , , , , , , , , , 
77893, , , , , , , , , , , , , , , , , , , , -0.9190000000001828, -636694.0, , -0.4638808276859764, , , , , , , , , , 
78093, , , , , , , , , , , , , , , , , , , , -0.9070000000001804, -641165.0, , -0.5057544794756214, , , , , , , , , , 
78293, , , , , , , , , , , , , , , , , , , , -0.9109999999995338, -645648.0, , -0.4671717699982546, , , , , , , , , , 
172793, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.0, , , , false, , false, false, , false, Disabled, , -645648.0, false, , false, , , false, , , , , false, 0.0
172893, , 0.0, , , , , , , , false, 0.0, false, , false, , , true, , , -0.9109999999995338, , , -0.4671717699982546, , -0.92, false, , false, false, true, false, , 
187593, , , , , , , , , , , , , , , , , , , , 0.0, 0.0, , 0.0, , 0.0, , , , , , , , 
191193, , , , , , , , , , , , , , , , , , , , -0.1490476190476386, -172.0, , -10.741188533834546, , -0.92, , , , , , true, true, 
191393, , , , , , , , , , , , , , , , , , , , -0.5266666666666467, -2057.0, , -6.072930899961665, , , , , , , , , , 
191593, , , , , , , , , , , , , , , , , , , , -0.7966666666666364, -5566.0, , -2.299051913175928, , , , , , , , , , 
191793, 50.000000000001066, 0.025000000000000532, , , , , , , , , , , , , , , , , , -0.9220000000000197, -10115.0, , -0.14359372259853626, , , , , , , , , , 
191993, 12.500000000000266, 0.006250000000000133, , , , , , , , , , , , , , , , , , -0.8833333333332998, -14550.0, , -0.6144215784090775, , , , , , , , , , 
